# Starfarer metin tablosu — sekme (TAB) ayraçlı, UTF-8.
#
# Sütunlar:  key <TAB> tr <TAB> en <TAB> de
#
# Kurallar:
#   · Ayraç sekmedir. Metnin içinde sekme KULLANMA.
#   · Satır sonu gerekiyorsa \n yaz (gerçek satır sonu değil) — her metin tek satırdır.
#   · Yer tutucular {0}, {1} … — sırası çeviride değişebilir, sayısı değişemez.
#   · Boş bırakılan hücre eksik çeviri demektir: oyun sırayla en, sonra tr karşılığını kullanır.
#   · # ile başlayan satırlar yorumdur.
#   · Dosya uzantısı .txt çünkü Unity yalnızca tanıdığı uzantıları TextAsset olarak alır (.tsv almıyor).
#
# Excel/Sheets: "Metinden sütunlara / Sekme" ile açılır, sekmeli metin olarak geri kaydedilir.

key	tr	en	de

# ── Açılış menüsü ────────────────────────────────────────────────────────────
menu.subtitle	Oort bulutu — Dünya'ya 1 ışık yılı	Oort cloud — 1 light year from Earth	Oortsche Wolke — 1 Lichtjahr von der Erde
menu.difficulty	ZORLUK	DIFFICULTY	SCHWIERIGKEIT
menu.difficulty.easy	KOLAY	EASY	LEICHT
menu.difficulty.normal	NORMAL	NORMAL	NORMAL
menu.difficulty.hard	ZOR	HARD	SCHWER
menu.startLevel	BAŞLANGIÇ LEVELİ	STARTING LEVEL	STARTLEVEL
menu.levelValue	Level {0}  ·  Bölüm {1}	Level {0}  ·  Chapter {1}	Level {0}  ·  Kapitel {1}
menu.start	BAŞLA	START	STARTEN
menu.continue	DEVAM ET  (Level {0})	CONTINUE  (Level {0})	FORTSETZEN  (Level {0})
menu.freeplay	SERBEST MOD	FREE PLAY	FREIES SPIEL
menu.freeplay.hint	Serbest mod: bölüm sistemi olmadan sürekli düşman akışı — test içindir	Free play: a continuous enemy stream without the chapter system — for testing	Freies Spiel: durchgehender Gegnerstrom ohne Kapitelsystem — nur zum Testen

# ── Oyun içi HUD ─────────────────────────────────────────────────────────────
hud.boost.shield	KALKAN\nBOOST	SHIELD\nBOOST	SCHILD\nBOOST
hud.boost.weapon	SİLAH\nBOOST	WEAPON\nBOOST	WAFFEN\nBOOST
hud.upgrade	YÜKSELT	UPGRADE	AUSBAU
hud.energy	ENERJİ	ENERGY	ENERGIE
hud.metal	METAL	METAL	METALL
hud.crystal	KRİSTAL	CRYSTAL	KRISTALL
hud.warn.noEnergy	ENERJİ YOK	NO ENERGY	KEINE ENERGIE
hud.warn.lowEnergy	ENERJİ AZ	LOW ENERGY	WENIG ENERGIE
hud.warn.metalFull	METAL DOLU	METAL FULL	METALL VOLL
hud.warn.metalNear	METAL DOLMAK ÜZERE	METAL NEARLY FULL	METALL FAST VOLL
hud.warn.crystalFull	KRİSTAL DOLU	CRYSTAL FULL	KRISTALL VOLL
hud.warn.crystalNear	KRİSTAL DOLMAK ÜZERE	CRYSTAL NEARLY FULL	KRISTALL FAST VOLL

# ── Level bandı ──────────────────────────────────────────────────────────────
banner.level	LEVEL {0}	LEVEL {0}	LEVEL {0}
banner.levelBoss	LEVEL {0}  —  BOSS	LEVEL {0}  —  BOSS	LEVEL {0}  —  BOSS
banner.chapter	BÖLÜM {0}	CHAPTER {0}	KAPITEL {0}
banner.chapterSector	BÖLÜM {0}  ·  {1}	CHAPTER {0}  ·  {1}	KAPITEL {0}  ·  {1}

# ── Oyun sonu ────────────────────────────────────────────────────────────────
gameover.title	OYUN BİTTİ	GAME OVER	SPIEL VORBEI
gameover.restart	YENİDEN BAŞLA	RESTART	NEU STARTEN

# ── Bölüm geçişi ─────────────────────────────────────────────────────────────
crew.captain	Kaptan	Captain	Kapitän
crew.engineer	Mühendis	Engineer	Ingenieur
crew.pilot	Pilot	Pilot	Pilot
credits.title	Tebrikler!	Congratulations!	Glückwunsch!
credits.body	Tüm sektörler temizlendi.	All sectors cleared.	Alle Sektoren gesäubert.

# ── Düşman bilgi kartı ───────────────────────────────────────────────────────
enemyinfo.subtitle	{0}  ·  Tehdit {1}	{0}  ·  Threat {1}	{0}  ·  Bedrohung {1}
enemyinfo.boss.subtitle	Bölüm Patronu  ·  Tehdit {0}	Chapter Boss  ·  Threat {0}	Kapitelboss  ·  Bedrohung {0}
enemyinfo.boss.fallbackName	Boss	Boss	Boss
enemyinfo.boss.hardpoints	Hardpoint: {0}	Hardpoints: {0}	Hardpoints: {0}
enemyinfo.bar.hp	HP	HP	HP
enemyinfo.bar.shield	KALKAN	SHIELD	SCHILD
enemyinfo.bar.armor	ZIRH	ARMOR	PANZERUNG
enemyinfo.weapon	Silah: {0}   {1:0.#} hasar / {2:0.#}s	Weapon: {0}   {1:0.#} damage / {2:0.#}s	Waffe: {0}   {1:0.#} Schaden / {2:0.#}s
enemyinfo.range	Menzil: {0:0.#}   ·   Kaçamak: {1:0.#}°	Range: {0:0.#}   ·   Evasion: {1:0.#}°	Reichweite: {0:0.#}   ·   Ausweichen: {1:0.#}°
enemyinfo.movement	Hareket: {0}	Movement: {0}	Bewegung: {0}
enemyinfo.layer.hull	Gövde	Hull	Rumpf
enemyinfo.layer.shield	Kalkan	Shield	Schild
enemyinfo.vsFighters.pursue	Savaşçıları kovalar	Chases fighters	Verfolgt Jäger
enemyinfo.vsFighters.engage	Savaşçıya ateş eder, kovalamaz	Fires at fighters but will not chase	Feuert auf Jäger, verfolgt sie aber nicht
enemyinfo.vsFighters.ignore	Savaşçıları tamamen yok sayar	Ignores fighters entirely	Ignoriert Jäger vollständig
enemyinfo.directionalShield	⚠ YÖNLÜ kalkan: yalnızca öndeki {0:0}° yayı korur — kenarından dolan	⚠ DIRECTIONAL shield: covers only the {0:0}° arc in front — go around it	⚠ GERICHTETER Schild: deckt nur den {0:0}°-Bogen vorn — umgehe ihn seitlich
enemyinfo.shieldRecharge	Kalkan şarjı: {0:0.#}/s ({1:0.#}s gecikme)	Shield recharge: {0:0.#}/s ({1:0.#}s delay)	Schildaufladung: {0:0.#}/s ({1:0.#}s Verzögerung)
enemyinfo.energyDrain	⚠ Enerji karıştırıcı: üretimi %{0:0} kısar ({1:0.#} menzil)	⚠ Energy disruptor: cuts output by {0:0}% ({1:0.#} range)	⚠ Energiestörer: senkt die Produktion um {0:0}% ({1:0.#} Reichweite)
enemyinfo.phase	⚠ Faz: {0:0.#}s'de bir {1:0.#}s vurulamaz	⚠ Phase: untargetable for {1:0.#}s every {0:0.#}s	⚠ Phase: alle {0:0.#}s für {1:0.#}s unverwundbar
enemyinfo.repairAura	⚠ Onarım aurası: {0:0.#} HP/s ({1:0.#} menzil)	⚠ Repair aura: {0:0.#} HP/s ({1:0.#} range)	⚠ Reparaturaura: {0:0.#} HP/s ({1:0.#} Reichweite)
enemyinfo.split	⚠ Ölünce ikiye bölünür (%{0:0} HP)	⚠ Splits in two on death ({0:0}% HP)	⚠ Teilt sich beim Tod in zwei ({0:0}% HP)
enemyinfo.phased	⚠ ŞU AN VURULAMAZ	⚠ CURRENTLY UNTARGETABLE	⚠ AKTUELL UNVERWUNDBAR

# ── Düşman rolleri / silahları / hareketleri ─────────────────────────────────
enemy.role.vanguard	Öncü	Vanguard	Vorhut
enemy.role.flank	Kanat	Flank	Flanke
enemy.role.center	Merkez	Center	Zentrum
enemy.role.rear	Arka	Rear	Nachhut
enemy.role.support	Destek	Support	Unterstützung
enemy.role.barrier	Bariyer	Barrier	Barriere
enemy.role.artillery	Topçu	Artillery	Artillerie
