level;butce;dalga;metal_gelir;kristal_gelir;metal_birikim;kristal_birikim;dalga_ehp;oyuncu_dps;temizleme_sn;kadro
1;7;3;18.53;0;18.53;0;140;3;46.67;enemy.type.swarm×7,0
2;7.19;3;19.03;0;37.56;0;143.26;3;47.75;enemy.type.swarm×7,0
3;7.38;3;19.55;0;57.11;0;146.6;9;16.29;enemy.type.swarm×7,0
4;7.58;3;21.77;0;78.87;0;171.45;9;19.05;enemy.type.swarm×8,0
5;7.79;3;22.35;0;101.22;0;175.44;11.25;15.6;enemy.type.swarm×8,0
6;8;3;22.96;0;124.18;0;179.53;11.25;15.96;enemy.type.swarm×8,0
7;8.21;3;23.58;0;147.76;0;183.72;11.25;16.33;enemy.type.swarm×8,0
8;8.44;3;24.22;0;171.97;0;188;14.06;13.37;enemy.type.swarm×8,0
9;8.66;3;26.75;0;198.72;0;216.42;14.06;15.39;enemy.type.swarm×9,0
10;8.9;3;27.46;0;226.18;0;221.47;14.06;15.75;enemy.type.swarm×9,0
11;9.14;3;28.2;0;254.38;0;182.95;15.94;11.48;enemy.type.swarm×2,0 enemy.type.armored×0,5 enemy.type.barrier×0,4
12;9.38;3;28.96;0;283.34;0;182.72;20.11;9.09;enemy.type.swarm×1,9 enemy.type.armored×0,5 enemy.type.barrier×0,4
13;9.64;3;31.78;0;315.12;0;180.65;21.12;8.55;enemy.type.swarm×1,8 enemy.type.armored×0,7 enemy.type.barrier×0,3
14;9.9;3;32.63;0;347.75;0;188.93;20.9;9.04;enemy.type.swarm×1,9 enemy.type.armored×0,7 enemy.type.barrier×0,3
15;10.16;3;33.5;0;381.25;0;185.06;26.4;7.01;enemy.type.swarm×1,9 enemy.type.armored×0,7 enemy.type.barrier×0,2
16;10.44;3;34.39;0;415.65;0;203.31;25.77;7.89;enemy.type.swarm×1,9 enemy.type.armored×0,6 enemy.type.barrier×0,3
17;10.72;3;37.55;0;453.19;0;228.21;25.12;9.08;enemy.type.swarm×2,8 enemy.type.armored×0,7 enemy.type.barrier×0,3
18;11.01;3;38.54;0;491.74;0;220.53;25.61;8.61;enemy.type.swarm×2,6 enemy.type.armored×0,7 enemy.type.barrier×0,2
19;11.31;3;39.56;0;531.3;0;220.47;32.23;6.84;enemy.type.swarm×2,6 enemy.type.armored×0,8 enemy.type.barrier×0,2
20;11.61;3;43;0;574.3;0;259.36;31.13;8.33;enemy.type.swarm×3,5 enemy.type.armored×0,7 enemy.type.barrier×0,2
21;11.93;3;44.13;0;618.43;0;268.02;29.3;9.15;enemy.type.swarm×4,1 enemy.type.shield×0,4 enemy.type.armored×0,4 enemy.type.barrier×0,1
22;12.25;3;45.29;0;663.72;0;274.19;29.18;9.4;enemy.type.swarm×4,2 enemy.type.shield×0,5 enemy.type.armored×0,4 enemy.type.barrier×0,1
23;12.58;3;49.03;0;712.75;0;306.61;36.48;8.41;enemy.type.swarm×5,1 enemy.type.armored×0,5 enemy.type.shield×0,4 enemy.type.barrier×0,1
